country,short_name,CINS
Angola,AGO,.002572
Botswana,BWA,.000187
Burundi,BDI,.000562
Congo,COG,.000361
Democratic Republic of the Congo,COK,.004175
Gabon,GAB,.000153
Ghana,GHA,.001109
Guinea-Bissau,GNB,.000132
Kenya,KEN,.001777
Lesotho,LSO,.000098
Liberia,LBR,.000223
Malawi,MWI,.000527
Mauritius,MUS,.000062
Mozambique,MOZ,.000994
Namibia,NAM,.000179
Rwanda,RWA,.000581
Somalia,SOM,.000531
South Africa,ZAF,.006316
Swaziland,SWZ,.000057
Tanzania,TZA,.002078
Uganda,UGA,.001320
Zambia,ZMB,.000749
Zimbabwe,ZWE,.001032
Algeria,DZA,.005290
Benin,BEN,.000370
Burkina Faso,BFA,.000659
Cameroon,CMR,.000969
Central African Republic,CAF,.000206
Chad,TCD,.000568
C’ote d’Ivoire,CIV,.001173
Djibouti,DJI,.000145
Egypt,EGY,.009713
Ethiopia,ETH,.003895
Guinea,GIN,.000458
Gambia,GMB,.000051
Libya,LBY,.001763
Madagascar,MDG,.000697
Mali,MLI,.000516
Mauritania,MRT,.000290
Morocco,MAR,.004471
Niger,NER,.000505
Nigeria,NGA,.007792
Senegal,SEN,.000645
Sierra Leone,SLE,.000393
Sudan,SDN,.003107
Togo,TGO,.000297
Tunisia,TUN,.000822
