country,shp_id
Angola,8
Botswana,17
Burundi,34
Congo,39
Democratic Republic of the Congo,40
Gabon,80
Ghana,82
Guinea-Bissau,181
Kenya,118
Lesotho,133
Liberia,130
Malawi,142
Mauritius,147
Mozambique,156
Namibia,238
Rwanda,189
Somalia,201
South Africa,194
Swaziland,243
Tanzania,225
Uganda,226
Zambia,245
Zimbabwe,246
Algeria,3
Benin,26
Burkina Faso,230
Cameroon,45
Central African Republic,50
Chad,37
C’ote d’Ivoire,109
Djibouti,56
Egypt,61
Ethiopia,67
Guinea,93
Gambia,79
Libya,135
Madagascar,136
Mali,144
Mauritania,149
Morocco,146
Niger,160
Nigeria,162
Senegal,195
Sierra Leone,198
Sudan,205
Togo,218
Tunisia,220
